PlaceID,Name,Address,Suburb,Postcode,Municipality,HeritagePlaceStatus
35,Former Manse,24-26 ELIZABETH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
36,Our House,30 ELIZABETH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
37,Elizabeth House,10 HIGH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
38,Slate Cottage,4 HIGH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
39,House,16-18 HIGH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
40,Barwick Cottage,8 HIGH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
42,Cottage,6 HIGH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
43,Cottage and Butcher's Shop,30 HIGH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
44,St Luke's Uniting Church andrCemetery,10 MARKET PL,BOTHWELL,7030,Central Highlands Council,Permanently Registered
45,Former Headmaster's Residence,4 MARKET PL,BOTHWELL,7030,Central Highlands Council,Permanently Registered
46,Former State School,6-8 MARKET PL,BOTHWELL,7030,Central Highlands Council,Permanently Registered
47,St Michael and All Angels' AnglicanrChurch,2 MARKET PL,BOTHWELL,7030,Central Highlands Council,Permanently Registered
48,Queen's Square War Memorial,PATRICK ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
49,House,8 PATRICK ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
50,Castle Hotel,14 PATRICK ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
52,House,10 PATRICK ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
53,Expressions of Interest,3 PATRICK ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
54,Former Post Office,9 PATRICK ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
56,Atholin,4 PATRICK ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
61,Rockford,16 SCHAW ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
62,Wentworth House,9 WENTWORTH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
63,Clifton Priory,2 WENTWORTH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
64,Fort Wentworth,8 WENTWORTH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
65,Tannery,3 WENTWORTH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
66,Thorpe Mill and Farm,189 DENNISTOUN RD,BOTHWELL,7030,Central Highlands Council,Permanently Registered
67,Nant,254 NANT LANE,BOTHWELL,7030,Central Highlands Council,Permanently Registered
69,Berriedale,357 HUMBIE RD,BOTHWELL,7030,Central Highlands Council,Permanently Registered
70,Ratho,2122 DENNISTOUN RD,BOTHWELL,7030,Central Highlands Council,Permanently Registered
72,Dungrove,3287 TO 3289 HIGHLAND LAKES RD,BOTHWELL,7030,Central Highlands Council,Permanently Registered
75,Selma,1840 MEADSFIELD RD,BOTHWELL,7030,Central Highlands Council,Permanently Registered
77,Masonic Club  (former  HutchinsrSchool),181-183 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
78,Christ College  (Masonic Club),181-183 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
79,St John's Presbyterian Church,188 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
80,Victoria League House / Hanby Villa,197 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
81,Stephenville (St Michael's CollegiaterSchool),212-218 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
82,House,223 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
83,Moina House,234 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
84,Maylands House,240 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
85,Tasmanian Club,132 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
87,House,262 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
88,Commercial Retail and House,SUITE 2 277 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
89,House,287 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
90,House,301 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
92,Ingle Hall,89-93 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
93,ANZ Bank,22-26 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
94,Mercantile Mutual,105 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
95,National Mutual Life Building,119 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
97,J. Walch and Son Building,130 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
98,Commercial Building,127-131 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
101,Commercial Retail Building,133 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
102,Commercial Retail Building,137-139 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
103,Queen Mary Club (former Bank ofrAustralasia),143 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
104,Legacy House,159 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
105,Cullen House,161-163 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
106,Conjoined House,161-163 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
107,St Joseph's Church,65 HARRINGTON ST,HOBART,7000,Hobart City Council,Permanently Registered
108,Macquarie Manor (Former RoyalrAutomobile Club),172 MACQUARIE ST,HOBART,7000,Hobart City Council,Permanently Registered
109,Westella,UNIT 1 181 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
111,Bank,38 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
112,St James the Apostle Church andrHall,462 ELIZABETH ST,NEW TOWN,7008,Hobart City Council,Permanently Registered
113,ANZ Bank  (Former BroadcastrHouse),22-26 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
114,Former Bank of Australasia,29 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
115,Commercial Retail,110-112 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
116,Commercial Retail,114 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
117,Commercial Retail,116 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
118,Commercial Retail (132 ElizabethrStreet),132-146 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
119,Commercial Retail (134 ElizabethrStreet),132-146 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
120,Commercial Retail (136 ElizabethrStreet),132-146 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
121,Commercial Retail (138 ElizabethrStreet),132-146 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
122,Roxburgh House,160 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
123,Commercial Retail,202-214 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
124,Commercial Retail,216-218 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
125,Kelso Terrace,242-250 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
126,Baptist Church and Hall,284-290 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
127,Terraces,312 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
128,Shop,310 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
129,House,322 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
130,House,324 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
131,House,336 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
132,Palfreyman's Building,340 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
133,Commercial Retail,366 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
135,Conjoined Shops,382-384 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
136,Queen's Head Hotel,400-404 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
137,North Hobart Post Office,412 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
138,House,418 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
139,House,420 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
140,House,422 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
141,House,432 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
142,House,444 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
143,Mimosa,446 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
144,Lyndhurst,448-450 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
145,The Elms,452 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
146,Arcadie,454 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
147,Former Commonwealth Bank,UNIT 2 GROUND FLOOR 11 ELIZABETHrST,HOBART,7000,Hobart City Council,Permanently Registered
148,Commercial Retail,115-115B ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
149,Offices and Residences (297rElizabeth St),297 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
150,Stone Wall Behind Empire Hotel,299 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
151,Shop,305 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
152,Former Dallas Arms Inn / DavisrCollege,313-313A ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
153,Commercial Retail,315 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
154,Commercial Retail and Residential,333 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
155,Commercial Retail,335 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
156,Commercial Retail,331 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
157,Commercial Retail Building,349 ELIZABETH ST,NORTH HOBART,7000,Hobart City Council,Permanently Registered
158,CML Building,18 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
159,Commercial Retail (92 ElizabethrStreet),94 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
160,Commercial Retail (94 ElizabethrStreet),94 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
161,Commercial Retail,96 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
162,Shop and Offices,98-102 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
163,Commercial Retail,104-106 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
164,Commercial Retail,108 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
165,GPO (Post Office),9 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
166,Commercial Retail,15-19 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
167,Commercial Retail,33 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
168,Commercial Retail,35 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
169,Shop,57 ELIZABETH ST,HOBART,7000,Hobart City Council,Permanently Registered
553,Enstone Park,22464 TASMAN HWY,FALMOUTH,7215,Break O'Day Council,Permanently Registered
554,Glencoe,22464 TASMAN HWY,FALMOUTH,7215,Break O'Day Council,Permanently Registered
556,Ormley,3635 ESK MAIN RD,FINGAL,7214,Break O'Day Council,Permanently Registered
557,Rostrevor,3837 ESK MAIN RD,FINGAL,7214,Break O'Day Council,Permanently Registered
558,Malahide,80 MATHINNA RD,FINGAL,7214,Break O'Day Council,Permanently Registered
559,Former Fingal Probation Station/rSuperintendent's Quarters,13 RUSSELL ST,FINGAL,7214,Break O'Day Council,Permanently Registered
560,St Andrew's Uniting Church,SEYMOUR ST,FINGAL,7214,Break O'Day Council,Permanently Registered
561,St Joseph's Catholic Church,VICTORIA ST,FINGAL,7214,Break O'Day Council,Permanently Registered
565,Schoolmaster's House and PrimaryrSchool,SEYMOUR ST,FINGAL,7214,Break O'Day Council,Permanently Registered
566,Convict Cells,STIEGLITZ ST,FINGAL,7214,Break O'Day Council,Permanently Registered
567,Police Magistrate's house,2 SHORT ST,FINGAL,7214,Break O'Day Council,Permanently Registered
570,Tasmanian Hotel,20 TALBOT ST,FINGAL,7214,Break O'Day Council,Permanently Registered
571,Talbot Arms,4 TALBOT ST,FINGAL,7214,Break O'Day Council,Permanently Registered
573,St Peter's Anglican Church,2 TALBOT ST,FINGAL,7214,Break O'Day Council,Permanently Registered
574,Stables,57 TALBOT ST,FINGAL,7214,Break O'Day Council,Permanently Registered
576,Store - 2 storey (Holder),31-33 TALBOT ST,FINGAL,7214,Break O'Day Council,Permanently Registered
577,Store (Holder),31-33 TALBOT ST,FINGAL,7214,Break O'Day Council,Permanently Registered
582,Former Council Chambers,317 LOTTAH RD,GOULDS COUNTRY,7216,Break O'Day Council,Permanently Registered
585,St Gabriel's Anglican Church,320 LOTTAH RD,GOULDS COUNTRY,7216,Break O'Day Council,Permanently Registered
587,Union Church & Cemetery,165 LOTTAH RD,GOULDS COUNTRY,7216,Break O'Day Council,Permanently Registered
588,Pyengana Hotel,250 ST COLUMBA FALLS RD,PYENGANA,7216,Break O'Day Council,Permanently Registered
590,Black Swan Inn,295 BINALONG BAY RD,ST HELENS,7216,Break O'Day Council,Permanently Registered
593,Former Post Office,44 CECILIA ST,ST HELENS,7216,Break O'Day Council,Permanently Registered
594,St Paul's Anglican Church,58 CECILIA ST,ST HELENS,7216,Break O'Day Council,Permanently Registered
595,Shop,60 CECILIA ST,ST HELENS,7216,Break O'Day Council,Permanently Registered
597,Fairlea Homestead,12-14 TASMAN HWY,ST HELENS,7216,Break O'Day Council,Permanently Registered
598,Queechy Homestead,2 TASMAN HWY,ST HELENS,7216,Break O'Day Council,Permanently Registered
599,Eddystone Light Station,2986 EDDYSTONE POINT RD,EDDYSTONE,7264,Break O'Day Council,Permanently Registered
602,Cullenswood Estate including ChristrChurch and Cemetery,6870 ESK MAIN RD,ST MARYS,7215,Break O'Day Council,Permanently Registered
604,Killymoon,6332 ESK MAIN RD,ST MARYS,7215,Break O'Day Council,Permanently Registered
605,Harefield,365 HAREFIELD RD,ST MARYS,7215,Break O'Day Council,Permanently Registered
606,Bakery,52 MAIN ST,ST MARYS,7215,Break O'Day Council,Permanently Registered
607,House,50 MAIN ST,ST MARYS,7215,Break O'Day Council,Permanently Registered
610,Valley Trading Co.,38 MAIN ST,ST MARYS,7215,Break O'Day Council,Permanently Registered
612,St Mary's Hotel,48 MAIN ST,ST MARYS,7215,Break O'Day Council,Permanently Registered
613,Railway Station,7265 ESK MAIN RD,ST MARYS,7215,Break O'Day Council,Permanently Registered
615,Cottages (Bakker),51 MAIN RD,WELDBOROUGH,7264,Break O'Day Council,Permanently Registered
616,Weldborough Hotel,12 MAIN RD,WELDBOROUGH,7264,Break O'Day Council,Permanently Registered
618,Bridgewater Bridge,N/A MIDLAND HWY,BRIDGEWATER,7030,Brighton Council,Permanently Registered
619,Parkholm,MIDLAND HWY,BRIDGEWATER,7030,Brighton Council,Permanently Registered
620,Genappe,50 BOYER RD,BRIDGEWATER,7030,Brighton Council,Permanently Registered
621,Cottage,25 SORELL ST,BRIDGEWATER,7030,Brighton Council,Permanently Registered
624,St Mary's Anglican Church andrCemetery,18 OLD MAIN RD,BRIDGEWATER,7030,Brighton Council,Permanently Registered
625,Coronation Hall,25 OLD MAIN RD,BRIDGEWATER,7030,Brighton Council,Permanently Registered
627,House,88 ANDREW ST,BRIGHTON,7030,Brighton Council,Permanently Registered
628,Cottage,91 ANDREW ST,BRIGHTON,7030,Brighton Council,Permanently Registered
629,The Cottage,620 BRIGGS RD,BRIGHTON,7030,Brighton Council,Permanently Registered
630,Stone Cottage,13 DERWENT ST,BRIGHTON,7030,Brighton Council,Permanently Registered
631,Cottage,621 MILLVALE RD,BRIGHTON,7030,Brighton Council,Permanently Registered
632,House,1 RACECOURSE RD,BRIGHTON,7030,Brighton Council,Permanently Registered
633,The Lodge,28 BRIGHTON RD,BRIGHTON,7030,Brighton Council,Permanently Registered
636,Wakefield,133 BRIGHTON RD,BRIGHTON,7030,Brighton Council,Permanently Registered
637,House,417 MILLVALE RD,BRIGHTON,7030,Brighton Council,Permanently Registered
638,Stonefield (formerly Braeside),126 STONEFIELD RD,BRIGHTON,7030,Brighton Council,Permanently Registered
639,Uniting Church and Cemeteryr(formerly),37 BRIGGS RD,OLD BEACH,7017,Brighton Council,Permanently Registered
640,St George's Church,2 BRIGGS RD,GAGEBROOK,7030,Brighton Council,Permanently Registered
641,Gagebrook (now called Gage House),239 OLD BEACH RD,OLD BEACH,7017,Brighton Council,Permanently Registered
642,The Pig and Whistle,50 BRIGGS RD,GAGEBROOK,7030,Brighton Council,Permanently Registered
643,House,359 BASKERVILLE RD,OLD BEACH,7017,Brighton Council,Permanently Registered
644,Craiglea,1 GLEBE ST,PONTVILLE,7030,Brighton Council,Permanently Registered
645,Shepherd's Cottage,2 GLEBE ST,PONTVILLE,7030,Brighton Council,Permanently Registered
646,Glendower,6 GLEBE ST,PONTVILLE,7030,Brighton Council,Permanently Registered
647,Lansdowne,4 GLEBE ST,PONTVILLE,7030,Brighton Council,Permanently Registered
648,Turnkey's Cottage,3 MARLBOROUGH ST,PONTVILLE,7030,Brighton Council,Permanently Registered
649,Prison Commandant's Cottage,8 PRINCE ST,PONTVILLE,7030,Brighton Council,Permanently Registered
650,The Sheiling,2 RIFLE RANGE RD,PONTVILLE,7030,Brighton Council,Permanently Registered
651,St Matthew's Roman Catholic Churchrand Cemetery,314 BRIGHTON RD,PONTVILLE,7030,Brighton Council,Permanently Registered
652,Epsom Inn,333 BRIGHTON RD,PONTVILLE,7030,Brighton Council,Permanently Registered
654,Lythgo's Store,358 BRIGHTON RD,PONTVILLE,7030,Brighton Council,Permanently Registered
655,The Barracks' Cottage,352 BRIGHTON RD,PONTVILLE,7030,Brighton Council,Permanently Registered
656,Former Anglican Rectory,1 KIMBERLEY ST,PONTVILLE,7030,Brighton Council,Permanently Registered
657,Stace House (former Post Office),379 BRIGHTON RD,PONTVILLE,7030,Brighton Council,Permanently Registered
658,St Mark's Anglican Church andrCemetery,404 BRIGHTON RD,PONTVILLE,7030,Brighton Council,Permanently Registered
659,Brooksby,403 BRIGHTON RD,PONTVILLE,7030,Brighton Council,Permanently Registered
661,Rosewood,945 BACK TEA TREE RD,TEA TREE,7017,Brighton Council,Permanently Registered
662,Glen Quoin,765 BACK TEA TREE RD,TEA TREE,7017,Brighton Council,Permanently Registered
663,Torwood,610 MIDDLE TEA TREE RD,TEA TREE,7017,Brighton Council,Permanently Registered
664,Eastwood,739 MIDDLE TEA TREE RD,TEA TREE,7017,Brighton Council,Permanently Registered
665,St Thomas' Anglican Church andrCemetery,940 MIDDLE TEA TREE RD,TEA TREE,7017,Brighton Council,Permanently Registered
668,Woodlands,793 TEA TREE RD,TEA TREE,7017,Brighton Council,Permanently Registered
669,Alma Lodge,1347 TEA TREE RD,CAMPANIA,7026,Southern Midlands Council,Permanently Registered
670,Former school,1167 TEA TREE RD,TEA TREE,7017,Southern Midlands Council,Permanently Registered
671,Windarrah,1447 TEA TREE RD,CAMPANIA,7026,Southern Midlands Council,Permanently Registered
673,Cheshunt,335-339 BASS HWY,CAMDALE,7320,Burnie City Council,Permanently Registered
674,Glen Osborne,9 AILEEN CRES,HILLCREST,7320,Burnie City Council,Permanently Registered
675,Lenna,8 AMY ST,BURNIE,7320,Burnie City Council,Permanently Registered
677,C.B.A. Bank,1 CATTLEY ST,BURNIE,7320,Burnie City Council,Permanently Registered
678,Launceston Bank,14 CATTLEY ST,BURNIE,7320,Burnie City Council,Permanently Registered
679,St Luke's Health Insurance,43 CATTLEY ST,BURNIE,7320,Burnie City Council,Permanently Registered
680,House,13 CHARLES ST,BURNIE,7320,Burnie City Council,Permanently Registered
681,Bay View Hotel,10-11 MARINE TCE,BURNIE,7320,Burnie City Council,Permanently Registered
682,Former Post Office,14 MARINE TCE,BURNIE,7320,Burnie City Council,Permanently Registered
683,Green's Hotel,27-29 MARINE TCE,BURNIE,7320,Burnie City Council,Permanently Registered
684,House,83 MOOREVILLE RD,SHOREWELL PARK,7320,Burnie City Council,Permanently Registered
685,Club Hotel,22 MOUNT ST,BURNIE,7320,Burnie City Council,Permanently Registered
686,Baptist Church and Office,55-59 MOUNT ST,BURNIE,7320,Burnie City Council,Permanently Registered
688,House,1 PRINCES ST,BURNIE,7320,Burnie City Council,Permanently Registered
689,House,3 PRINCES ST,BURNIE,7320,Burnie City Council,Permanently Registered
690,House,7 PRINCES ST,BURNIE,7320,Burnie City Council,Permanently Registered
691,House,20 QUEEN ST,BURNIE,7320,Burnie City Council,Permanently Registered
693,The Burnie Club,40 QUEEN ST,BURNIE,7320,Burnie City Council,Permanently Registered
694,House,1 WEST PARK GR,PARKLANDS,7320,Burnie City Council,Permanently Registered
695,Wyona,7 WILLIAM ST,BURNIE,7320,Burnie City Council,Permanently Registered
696,T.G.I.O Building,75 WILSON ST,BURNIE,7320,Burnie City Council,Permanently Registered
698,Police Administration Building,88-98 WILSON ST,BURNIE,7320,Burnie City Council,Permanently Registered
699,Gospel Hall,109 WILSON ST,BURNIE,7320,Burnie City Council,Permanently Registered
700,Anglican Church of St David's,7 POKE ST,COOEE,7320,Burnie City Council,Permanently Registered
701,Emu Bay Railway Company Fettlers'rCottages site,76 OONAH RD,HIGHCLERE,7321,Burnie City Council,Permanently Registered
702,Former Van Diemen's LandrCompany Huts,85 CIRCULAR RD,EAST RIDGLEY,7321,Burnie City Council,Permanently Registered
704,Armitage,444 RIDGLEY HWY,MOOREVILLE,7321,Burnie City Council,Permanently Registered
707,Bridge Hotel,393 LEITH RD,FORTH,7310,Central Coast Council,Permanently Registered
709,Lenna,628 FORTH RD,FORTH,7310,Central Coast Council,Permanently Registered
711,Ochill Manor,27 OLD KINDRED RD,FORTH,7310,Central Coast Council,Permanently Registered
713,The Grange,10 WILLIAM ST,FORTH,7310,Central Coast Council,Permanently Registered
714,Arniston,65 WILMOT RD,FORTH,7310,Central Coast Council,Permanently Registered
715,West Nook,265 WEST GAWLER RD,GAWLER,7315,Central Coast Council,Permanently Registered
718,Kirami,161 ALLPORT ST E,LEITH,7315,Central Coast Council,Permanently Registered
719,Anglican Church of St John andrgraveyard,586 PRESTON RD,NORTH MOTTON,7315,Central Coast Council,Permanently Registered
720,St Stephen's Church,34 MAIN ST,PENGUIN,7316,Central Coast Council,Permanently Registered
721,Penguin Uniting Church and Hallr(former Methodist Church andrSchool),50 MAIN RD,PENGUIN,7316,Central Coast Council,Permanently Registered
722,Watcombe House,114 MAIN RD,PENGUIN,7316,Central Coast Council,Permanently Registered
723,Lonah,405 PENGUIN RD,WEST ULVERSTONE,7315,Central Coast Council,Permanently Registered
725,Pinewood Church,662 PINE RD,WEST PINE,7316,Central Coast Council,Permanently Registered
729,Ripple,186 CREAMERY  RD,SULPHUR CREEK,7316,Central Coast Council,Permanently Registered
730,The Gables,124-126 ESPLANADE,TURNERS BEACH,7315,Central Coast Council,Permanently Registered
731,House,2 LUKIN ST,TURNERS BEACH,7315,Central Coast Council,Permanently Registered
732,House,18 ALEXANDRA RD,ULVERSTONE,7315,Central Coast Council,Permanently Registered
733,House,49 ALEXANDRA RD,ULVERSTONE,7315,Central Coast Council,Permanently Registered
734,Molenda Lodge,334 CASTRA RD,ULVERSTONE,7315,Central Coast Council,Permanently Registered
735,House,6 CHARLES ST,ULVERSTONE,7315,Central Coast Council,Permanently Registered
736,Gravel Hill,16-18 CORAL AVE,ULVERSTONE,7315,Central Coast Council,Permanently Registered
737,House,10 DIAL ST,ULVERSTONE,7315,Central Coast Council,Permanently Registered
738,House,12 DIAL ST,ULVERSTONE,7315,Central Coast Council,Permanently Registered
739,House,14 DIAL ST,ULVERSTONE,7315,Central Coast Council,Permanently Registered
740,House,16 DIAL ST,ULVERSTONE,7315,Central Coast Council,Permanently Registered
741,House,24 DIAL ST,ULVERSTONE,7315,Central Coast Council,Permanently Registered
742,House,26 DIAL ST,ULVERSTONE,7315,Central Coast Council,Permanently Registered
743,House,21 EASTLAND DR,ULVERSTONE,7315,Central Coast Council,Permanently Registered
744,House,28 EASTLAND DR,ULVERSTONE,7315,Central Coast Council,Permanently Registered
745,House,42 EASTLAND DR,ULVERSTONE,7315,Central Coast Council,Permanently Registered
746,House,3 FULTON ST,ULVERSTONE,7315,Central Coast Council,Permanently Registered
747,House,14 FULTON ST,ULVERSTONE,7315,Central Coast Council,Permanently Registered
748,Cottage,16 FULTON ST,ULVERSTONE,7315,Central Coast Council,Permanently Registered
749,House,62 GAWLER RD,ULVERSTONE,7315,Central Coast Council,Permanently Registered
750,Wangford,29 GEORGE ST,ULVERSTONE,7315,Central Coast Council,Permanently Registered
